"Height","SlopeAngle","Cohesion","FrictionAngle","FOS"
50,50,37.26,46.1,1.43
50,50,69.63,33.9,1.28
50,50,51.97,31.5,1.08
40,50,51.97,31.5,1.19
40,45,51.97,31.5,1.3
38,30,51.97,31.5,1.87
55,35,51.97,31.5,1.45
60,55,51.97,31.5,0.92
60,55,71.97,41.5,1.31
45,55,71.97,41.5,1.48
90,55,71.97,41.5,1.11
90,48,71.97,41.5,1.32
50,50,85.32,34.4,1.4
50,50,85.33,39,1.55
39,40,85.33,39,2.08
35,44,85.33,39,2.02
35,44,85.33,45,2.29
100,40,85.33,45,1.78
90,52,90.33,38,1.18
95,31,90.33,38,1.95
95,48,90.33,38,1.26
80,48,90.33,38,1.34
70,48,90.33,38,1.4
60,48,90.33,38,1.49
50,50,61.78,33.3,1.21
50,50,61.78,30,1.11
55,45,61.78,35,1.33
56,44,50,45,1.65
99,44,50,45,1.44
88,40,50,45,1.64
80,41,55,45,1.66
80,35,55,45,1.96
70,40,55,45,1.75
75,45,55.12,45,1.52
50,45,56.88,26.2,1.03
60,45,56.88,26.2,1
60,40,56.88,26.2,1.11
45,40,56.88,26.2,1.24
80,40,56.88,26.2,1.01
85,35,46.88,33,1.33
85,35,46.88,40,1.63
100,40,30.88,42,1.36
95,40,30.88,42,1.37
80,43,30.88,48,1.56
80,43,40.88,48,1.62
55,40,20.88,34,1.11
66,40,20.88,34,1.07
66,56,20.88,34,0.74
50,40,64.72,26.4,1.25
50,40,66.92,32,1.46
53,36,66.92,32,1.57
53,36,66.92,26,1.34
50,50,56.88,26.2,0.98
50,50,55.88,25,0.94
70,45,55.88,25,0.9
80,45,55.88,25,0.86
80,55,55.88,25,0.7
80,60,55.88,25,0.64
50,50,15.69,41.7,1.06
50,50,20,44.7,1.22
20,30,20,45,2.45
40,30,20,45,2.17
40,60,20,45,0.98
50,50,40.21,35.2,1.1
50,50,40.21,38,1.18
100,50,40.21,38,0.98
100,25,40.21,38,2.04
80,30,55.21,38,1.87
70,35,55.21,38,1.66
70,35,55.56,30,1.33
60,55,50.06,25,0.76
50,50,94.14,32.5,1.41
50,55,85.14,42.5,1.54
50,60,85.14,42.5,1.4
65,45,79.14,39.5,1.52
70,45,79.14,39.5,1.49
70,55,79.14,39.5,1.21
85,55,59.14,32.5,0.86
50,50,20.59,45,1.24
